WDS,s,M,|U*g|,Planets
17199+2629,181.4,0.7299,125.1,No
17341+4447,16.83,0.7083,1308,No
17530+1655,17.94,0.5987,877,No
17571+1547,25.96,0.7052,844.7,No
(LP 569-15),9464,0.9794,4.298,No
18180+3846,113.3,0.4878,90.1,No
18210-0101,25.53,0.5548,531.4,No
18235+2810,18.76,0.4776,474.4,No
(LSPM J1826+1120S),221.2,0.9208,167.9,No
(G 184-13A),62.28,0.7463,389.4,No
18355+4546,1746,0.905,17.96,Yes
18411+2447,46.99,0.6077,251.5,No
18428+5938,40.74,0.6018,386.7,No
18550+1058,70.68,1.394,662.5,No
18576+5331,1081,1.234,30.46,Yes
19074+5905,76.24,0.5655,132.3,No
19072+2053,1007,0.6191,16.78,No
(StKM 1-1680),8.295,0.5007,11.88,No
19106+0132,465.1,0.681,27.99,No
19147+1918,738.3,0.8094,37.7,No
19169+0510,446.9,0.5781,19.29,Yes
(LSPM J1918+5803),73.18,0.6836,140.9,No
19206-0740,285.5,0.8982,108.2,No
(TOI-1452),97.04,0.4674,99.22,Yes
(PM J19242+7943 ),3538,1.208,18.18,No
19352+0825,8.539,0.4362,340.3,No
19458+2710,24.18,0.4514,368.9,No
19464+3201,79.61,0.9946,541.4,No
19510+1025,418.1,1.549,183.5,No
19539+4425,1.924,0.1266,108.8,No
19566+5910,1985,1.089,22.7,No
19573-1234,1116,0.8456,20.8,No
20111+1611,2122,1.161,20.56,No
20130+3416,541.3,1.316,141,No
20132+0256,1188,1.313,63.74,No
20139+0641,2328,1.067,20.22,No
(LP 575-38),29.25,0.8135,995.5,No
(LP 395-8 A),0.01057,1.438,962,No
(PM J20220+2147),146.6,0.6354,90.9,No
20233+6710,25.3,0.3336,193.1,No
20337+2322,31.33,0.7478,756.9,No
20273+2157,2192,0.8866,13,No
20452-3120,45470,1.469,1488,Yes
20555-1400,0.841,0.5997,9.003,No
(PM J21055+0609N),114.8,0.6239,103.3,No
(PM J21057+5015E),1138,0.9453,34.44,No
(BPS CS 22898-0065),1160,1.097,45.32,No
(LSPM J2113+0846N),9.814,0.4929,178.3,No
21161+2951,1.143,0.335,43.07,No
21174+2053,132.4,0.8479,235.5,No
21176-0854,12.89,0.4113,17.53,No
21324+2434,31.76,0.6246,540.9,No
21338+0147,87.31,0.4397,97.31,No
21366+3928,20.95,1.064,2305,No
21379+2743A,2.19,0.1954,456.8,No
21440+1705,1095,0.4689,8.605,No
21451+1954,21.04,1.154,2138,No
(LSPM J2147+6245),2780,0.7978,5.533,Yes
21516+5918,123.9,1.039,380,No
(Wolf 1154 A),40.17,0.3225,698.5,No
22058+6539,159.2,0.7072,123.5,No
22059-1155,59340,0.8646,0.2615,No
22107+0755,28.55,1.164,2093,No
(WT 2221),532.6,0.6747,34,No
